Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
1,,,BCL2,1,AUC,155.79,180,74.36,Venetoclax,No mutation
3,,,SYK,1,AUC,190.9,145,49.58,Entospletinib,No mutation
4,,,"MAP2K1,MAP2K2","1,1",AUC,182.7,226,69.74,Selumetinib,No mutation
5,,,"FLT3,KIT","1,1",AUC,203.41,235,52.39,Midostaurin,No mutation
6,FLT3,1.0,BCL2,1,AUC,106.12,35,85.32,Venetoclax,FLT3_ITD
8,FLT3,1.0,SYK,1,AUC,152.86,29,61.2,Entospletinib,FLT3_ITD
9,FLT3,1.0,"MAP2K1,MAP2K2","1,1",AUC,190.5,43,74.06,Selumetinib,FLT3_ITD
10,FLT3,1.0,"FLT3,KIT","1,1",AUC,155.56,44,67.23,Midostaurin,FLT3_ITD
11,,,"BCL2,NPM1","1,1",AUC,137.37,44,82.65,Venetoclax,NPM1
13,,,"NPM1,SYK","1,1",AUC,181.86,35,42.07,Entospletinib,NPM1
14,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,210.19,43,81.63,Selumetinib,NPM1
15,,,"FLT3,KIT,NPM1","1,1,1",AUC,214.32,45,44.92,Midostaurin,NPM1
16,,,"BCL2,DNMT3A","1,1",AUC,163.84,28,62.12,Venetoclax,DNMT3A
18,,,"DNMT3A,SYK","1,1",AUC,190.34,22,39.74,Entospletinib,DNMT3A
19,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,191.1,30,71.12,Selumetinib,DNMT3A
20,,,"DNMT3A,FLT3,KIT","1,1,1",AUC,202.61,32,60.67,Midostaurin,DNMT3A
21,FLT3,1.0,"BCL2,NPM1","1,1",AUC,95.32,19,64.62,Venetoclax,"FLT3_ITD,NPM1"
23,FLT3,1.0,"NPM1,SYK","1,1",AUC,136.91,19,51.73,Entospletinib,"FLT3_ITD,NPM1"
24,FLT3,1.0,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,211.61,23,72.49,Selumetinib,"FLT3_ITD,NPM1"
25,FLT3,1.0,"FLT3,KIT,NPM1","1,1,1",AUC,157.14,25,69.63,Midostaurin,"FLT3_ITD,NPM1"
26,FLT3,1.0,"BCL2,DNMT3A","1,1",AUC,151.24,5,91.16,Venetoclax,"DNMT3A,FLT3_ITD"
28,FLT3,1.0,"DNMT3A,SYK","1,1",AUC,187.2,5,22.41,Entospletinib,"DNMT3A,FLT3_ITD"
29,FLT3,1.0,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,194.31,8,70.21,Selumetinib,"DNMT3A,FLT3_ITD"
30,FLT3,1.0,"DNMT3A,FLT3,KIT","1,1,1",AUC,170.42,8,36.33,Midostaurin,"DNMT3A,FLT3_ITD"
31,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,185.21,15,73.77,Venetoclax,"DNMT3A,NPM1"
33,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,147.46,13,54.55,Entospletinib,"DNMT3A,NPM1"
34,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,165.84,24,69.6,Selumetinib,"DNMT3A,NPM1"
35,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,206.71,23,63.18,Midostaurin,"DNMT3A,NPM1"
36,FLT3,1.0,"BCL2,DNMT3A,NPM1","1,1,1",AUC,151.12,26,73.91,Venetoclax,"DNMT3A,FLT3_ITD,NPM1"
38,FLT3,1.0,"DNMT3A,NPM1,SYK","1,1,1",AUC,151.1,24,48.44,Entospletinib,"DNMT3A,FLT3_ITD,NPM1"
39,FLT3,1.0,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,188.74,28,64.12,Selumetinib,"DNMT3A,FLT3_ITD,NPM1"
40,FLT3,1.0,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,167.81,28,55.06,Midostaurin,"DNMT3A,FLT3_ITD,NPM1"
